filepath,label
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/d7b5cac3-8927-4de2-a1e5-cc44ccb15a32___NREC_B.Spot 1866.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/794eb318-4b89-4774-89af-76131cf7b793___NREC_B.Spot 1920.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/113d374f-8b12-454c-84cc-ee91043bc988___NREC_B.Spot 9146.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/141a46fa-9293-4810-9cf6-b329346f8fb2___JR_B.Spot 8995.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/18df58d7-c6ac-48e5-8cb0-596b70252a8e___NREC_B.Spot 9153.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/7f4db70a-2dca-4c7d-867b-a3827e89994f___NREC_B.Spot 9172.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/70985466-254f-479b-86f2-9792be0864ed___JR_B.Spot 9044.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/ebbd2311-713d-4179-a64f-7a862b710749___JR_B.Spot 8913.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/d4f5ce4f-56e2-4e4c-b696-e760f02fe2a5___NREC_B.Spot 1928.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/51227dc9-baed-4d63-92ec-70f3361b480b___NREC_B.Spot 9161.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/fdaea662-b23a-41cf-803c-ca33cf492455___NREC_B.Spot 9069.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/aec9d65a-57ec-4b2d-b22e-f80ca8cffbaf___NREC_B.Spot 9059.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b2df85c5-719c-4a97-aad5-51b3636edb91___NREC_B.Spot 9150.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/cd35e968-1e90-4fc9-a0d1-574b89bc3019___NREC_B.Spot 9082.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/1cce64aa-6f9f-4ce1-b319-dbc4a012b240___JR_B.Spot 8998.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/bd493982-5fe3-4851-b4d3-1e9e962f1d70___NREC_B.Spot 1876.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/665fd560-82b6-4af9-8f0a-0dbace910cb2___JR_B.Spot 9062.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/fde20c63-cca2-4edb-9e6c-77b3a7f95cbd___JR_B.Spot 3400.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/bde95d13-80fa-4993-a13e-6ca4f7f1c9ef___JR_B.Spot 8867.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/7bbe08c8-ca13-4cb9-89d1-d6e2c2d8c1cc___JR_B.Spot 3215.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/77a0bad6-8570-43a4-b521-306b2cb0739a___JR_B.Spot 8960.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/c8ea8547-4f93-4bf9-af69-79f09697e817___JR_B.Spot 3152.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b1c60a36-0aa1-4051-8dfe-db3ab7feeb39___JR_B.Spot 3406.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/8e049c5d-6a3b-4972-94e3-057e6cbe3892___NREC_B.Spot 1901.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/3c237d3f-7242-4009-a08a-b4eb7cd662fc___NREC_B.Spot 1969.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/6e698a9c-27ae-4ebb-a041-c8f06a69d664___JR_B.Spot 3133.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/4e380ba7-b5dc-46e3-850e-b52a775378d0___NREC_B.Spot 9107.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/598fe617-af0b-49c0-ad10-f616bd4e0783___NREC_B.Spot 1847.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/937f93b6-2ecd-4129-9995-e0473d498335___NREC_B.Spot 9045.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/c9cc28e5-a5c4-46b9-bd18-c7ffaadfdac0___NREC_B.Spot 9077.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot 1872.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/6218fa91-d526-4705-aab4-026c328197a3___NREC_B.Spot 9252.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/eaef6117-c055-401a-8851-cec16787b5d8___JR_B.Spot 3278.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/c9c9c8b5-11a8-4553-9a37-c78f218dba2b___JR_B.Spot 8984.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/f3fe3173-1b59-404a-b986-133e847f2090___NREC_B.Spot 9054.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/3b58322b-64c3-4354-8612-93a6f50a096e___JR_B.Spot 3291.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/c27c09cc-acf8-4e46-a828-a48a96249642___JR_B.Spot 3232.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/f231ad19-e0c1-4ddc-9b8c-5415d2be9acd___NREC_B.Spot 9099.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot 3280.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/eb2fd423-38f8-42b5-88bf-4fdc81adba95___JR_B.Spot 8952.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/4777008f-3144-44df-b230-e94725e711d2___NREC_B.Spot 1979.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/79264de2-10b4-4b3d-a3fe-42916a666bcb___NREC_B.Spot 9239.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/bcf56f7d-d584-4fed-b42e-5cbf3b8707b7___JR_B.Spot 3197.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/fc45e7eb-9b7f-43ae-a769-2b9ab7f85eee___JR_B.Spot 3106.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/9dbff8df-4ad1-46ec-96d7-4f35a27e2d5d___JR_B.Spot 8987.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/4d42924a-13e0-4e26-b131-2125e154c542___NREC_B.Spot 9220.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/2bb75692-d488-406d-bce0-c7eab42557c5___NREC_B.Spot 1922.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/d9bc75ea-cbc2-4677-b8f8-8b7181c8292c___JR_B.Spot 8923.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/2a8a3b2f-d65a-416b-a251-63bb89f448c3___JR_B.Spot 3322.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/795a0fc6-b2cc-41b8-b42b-88ce395b4186___NREC_B.Spot 1937.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b69df6fa-dc49-41e4-9efa-ee313efeb190___JR_B.Spot 3297.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/45de9eff-47b2-4e93-941a-11eeedbefc4f___NREC_B.Spot 1945.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/8abde119-2bdc-4a2f-9f83-3c4f0680f565___NREC_B.Spot 1912.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/993094d0-de25-4e57-9fa3-4a92b3464e32___NREC_B.Spot 1939.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b32ea1b7-7bf8-451e-b47c-c0cf37bba3d5___NREC_B.Spot 1913.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot 9068.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/95846c59-3b47-477f-93f1-4f857099be3d___NREC_B.Spot 9203.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/7b3f4992-f771-4b6e-b25f-7ec4c5823c88___JR_B.Spot 8951.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/d47bf701-9feb-46d5-a4e6-4cf58765898f___NREC_B.Spot 9136.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/65fc5138-b38a-42d6-a892-1441585ceebd___NREC_B.Spot 9057.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/67fb9590-9c1b-47f0-b5e2-f7377136bcba___NREC_B.Spot 1845.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/e87de1b1-6022-49ce-b073-c1c43776328c___JR_B.Spot 8944.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/a3f4ee94-8c9f-4c38-8e64-b3928e6b3a95___JR_B.Spot 3204.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/365ab78f-6a75-49ef-acb8-44b8b21fac2c___NREC_B.Spot 9159.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/971daa99-7eea-4163-9a1e-3eebd7081f0e___JR_B.Spot 3271.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/30956fb2-aec3-4e1d-bc10-ead8d1bd9c03___NREC_B.Spot 1835.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/41f3e9be-44a8-42b1-9654-8e7127bfc57e___JR_B.Spot 9048.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/3294ec88-cc8d-4e3a-af08-f2f9d7f4a73b___JR_B.Spot 3196.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/f896c5eb-0ec3-4480-bddc-10977b344277___NREC_B.Spot 1932.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/65c3a8f9-9631-4b86-9ae3-28116c869247___JR_B.Spot 9005.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/bbda7917-5169-48e8-b041-9ee38aabb29d___JR_B.Spot 3211.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/5a41f26f-19c9-43bc-8032-553300c7f7ff___JR_B.Spot 3125.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/baf87bb4-cf33-432d-ae8c-6ee3bd6dacce___JR_B.Spot 8988.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/adbfa5e7-23a5-4df0-9cae-1e54115619cb___NREC_B.Spot 1786.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/94c2cf91-17c3-4ee1-b8f2-b20103e1c14f___NREC_B.Spot 9094.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/94096850-51ab-4a15-bac0-61390e9b0d45___NREC_B.Spot 9080.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/313665a9-0f55-4f00-9373-74bf7349e6a6___NREC_B.Spot 1982.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/6e789f9f-96b0-4221-9755-a75ca579def7___NREC_B.Spot 1795.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/2700e5b5-295c-4378-b829-0e5989864380___NREC_B.Spot 9091.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/4b70a1bf-7bee-41d1-b4ff-415307d6d1ca___NREC_B.Spot 1808.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/cbb8c960-5659-4bf1-b75e-f5b2e65b7c0b___NREC_B.Spot 9074.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b88f7b81-a3d2-4813-bb76-f583bdac2762___NREC_B.Spot 9223.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/e973e4ca-1670-4fa7-9206-49046080d897___NREC_B.Spot 1831.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/5d8f861b-e216-4239-ab39-3c55d63dd9d6___NREC_B.Spot 1907.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/cdc03013-24a2-4b69-8cbe-f1acfb0272a8___JR_B.Spot 3345.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b3cb19d0-df9b-4705-ab26-40aafab8ecca___JR_B.Spot 3206.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/ea679763-149c-44b1-9593-e82242f303cb___NREC_B.Spot 1985.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/e0b8d24b-c115-49d8-8e87-67f35681d181___JR_B.Spot 8877.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/197e7e21-9ddb-4fbe-a87e-2885a14c29d5___JR_B.Spot 9035.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/baa2dfb9-ff6a-4f84-9036-243000982301___NREC_B.Spot 1880.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/cd7b99bc-2c7f-48ac-b799-bc04f5c78277___NREC_B.Spot 1863.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/bd4af3cd-1124-4b3e-b5b9-c58ab11266b6___JR_B.Spot 9013.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/969f1458-b7a9-4880-9759-05b0005c978e___JR_B.Spot 8978.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/7a0a678b-9bd3-4f13-a650-31566fdb30da___JR_B.Spot 8961.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/8ea79527-9b03-44c1-a686-db2ab4b87623___JR_B.Spot 3335.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/3af826c4-e8d8-472f-b4cf-d1a34bc2cd35___NREC_B.Spot 9051.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/8d8df238-9cd0-42b2-bd0f-46ada2ad1798___JR_B.Spot 8927.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/9bb027f3-c76e-4d97-8564-8af1632dd3a9___JR_B.Spot 3217.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b9a94a36-2bdb-48a3-80eb-858a97ddba5b___JR_B.Spot 9080.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/55d4d62f-ed27-4225-8245-c0e732a5a01b___JR_B.Spot 8959.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/a15291c3-e639-42d5-b22d-ed147c6453be___JR_B.Spot 3134.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/447735c7-b650-4ef6-a53b-8fb661470de3___JR_B.Spot 3370.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/cfe02ced-6be9-4119-933f-75f95b88a940___JR_B.Spot 8838.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/75a64b98-63dd-4ef1-907f-09bdeb3a89dc___JR_B.Spot 3228.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/91b84b7f-2132-4d72-897b-95c763ce5397___JR_B.Spot 9067.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/df70c605-70e2-4850-862a-a9d13d7e14f2___NREC_B.Spot 9137.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/9df5753b-f4d3-440f-a8a2-3140875436c2___JR_B.Spot 3171.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/f73b390b-591a-4f25-991d-3ff77a92a6f5___JR_B.Spot 3357.JPG,Pepper__bell___Bacterial_spot
